"Notebook","Text count","Description"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq98/object","2","Raimondi, Giuseppe. Quaderno manoscritto, ""Il tempo degli aeroplani ; Le Memorie di Casanova. (Marzo 1959)"""
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq123/object","2","Raimondi, Giuseppe. Quaderno manoscritto, ""Estaminet La Fleur en Papier Dore : (Il mondo) ; I piaceri della pittura di Cecchi"""
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq278/object","2","Raimondi, Giuseppe. Quaderno manoscritto, ""Immagine dell'acqua : racconto. 20.7.1972 ; Il viola di una fodera di paletot : racconto. 28.8.1972"""
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq195/object","3","Raimondi, Giuseppe. Quaderno manoscritto, ""La venexiana. 2.3.1964 ; Il Savoldo pittore bresciano. 9.3.964 ; L'oro di Pasqua. 25.3.964"""
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq387/object","2","Raimondi, Giuseppe. Quaderno manoscritto, ""Fotografia di Soldati. 27.4.1977 ; Appunti su Joseph Conrad"""
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq308/object","2","Raimondi, Giuseppe. Quaderno manoscritto, ""[Giuseppe il falegname ; Troppe le fotografie di giornale]"""
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq205/object","2","Raimondi, Giuseppe. Quaderno manoscritto, ""Aurora e Frammenti di Nietzsche. 28.4.965 ; Paesaggi di Versilia. 18.5.965"""
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq241/object","2","Raimondi, Giuseppe. Quaderno manoscritto, ""Lady Macbeth : racconto. 14.1.1968 ; Neve in ferrovia : racconto : (1957-1968). 12.2.1968"""
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq78/object","2","Raimondi, Giuseppe. Quaderno manoscritto, ""Pascoli e gli italiani ; L'autunno di Montaigne. Aprile 1958"""
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq166/object","3","Raimondi, Giuseppe. Quaderno manoscritto, ""Canti popolari emiliani. 30.9.1962 ; Ugo e Diego Valeri. 16.10.1962 ; La morte dell'eroe"""
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq193/object","2","Raimondi, Giuseppe. Quaderno manoscritto, ""La vita di Galileo di Brecht ; Le ""opere"" di Barilli. 5.2.1964"""
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq246/object","3","Raimondi, Giuseppe. Quaderno manoscritto, ""Un tramonto : racconto. 10.9.968 ; Il postiglione d'Europa : (Magalotti). 1.10.1968 ; La scultura francese del '700. 16.10.1968"""
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq215/object","3","Raimondi, Giuseppe. Quaderno manoscritto, ""Il pittore Giovanni Romagnoli. 15.12.65 ; La mostra della scultura bolognese del Settecento. 20.12.65 ; Il letto alla francese. 3 gennaio 1966"""
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq103/object","2","Raimondi, Giuseppe. Quaderno manoscritto, ""Cartadifrancia ; I milanesi di Vuillard"""
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq253/object","2","Raimondi, Giuseppe. Quaderno manoscritto, ""Il nero e l'azzurro : racconto. 9.5.1969 ; Le conchiglie : racconto. 7.7.1969"""
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq292/object","2","Raimondi, Giuseppe. Quaderno manoscritto, ""La stanza del Passerotti. 12.5.1973 ; Peppino muratore e fumista. 28.5.73"""
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq214/object","2","Raimondi, Giuseppe. Quaderno manoscritto, ""I disegni del Pontormo. 27.11.965 ; L'album Proust. 3.12.65"""
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq76/object","2","Raimondi, Giuseppe. Quaderno manoscritto, ""Le lettere di Campana e di Sibilla : 2. articolo ; Neve di marzo : (Cocteau). Marzo 1958"""
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq311/object","2","Raimondi, Giuseppe. Quaderno manoscritto, ""Studio sui disegni ; Appunti per D. Giordani"""
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq129/object","2","Raimondi, Giuseppe. Quaderno manoscritto, ""Il canditaio : racconto ; I disegni di Paul Klee. 15.12.960"""
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq441/object","2","Raimondi, Giuseppe. Quaderno manoscritto, ""Una piazza nella notte : diverse versioni ; Andare verso il fuoco dell'officina : diverse versioni"""
