"Notebook","Title","Page count"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq56/object","Dino Campana quarant'anni dopo : (la fortuna di Campana). (Pasqua) aprile 1957","10 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq74/object","Le lettere di Campana e Sibilla Aleramo. 3 febbraio 1958 ; Restif-Dubuffet","10 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq74/object","Le lettere di Campana e Sibilla Aleramo. 3 febbraio 1958","10 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq92/object","Note su Antonin Artaud. 24.12.58","10 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq73/object","Una quadreria sotto i binari","10 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq73/object","Una quadreria sotto i binari ; La terza pagina. Febbraio 1958","10 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq166/object","Canti popolari emiliani. 30.9.1962","10 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq166/object","Canti popolari emiliani. 30.9.1962 ; Ugo e Diego Valeri. 16.10.1962 ; La morte dell'eroe","10 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq88/object","Apollinaire: 9 novembre 1918","10 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq88/object","Apollinaire: 9 novembre 1918 ; Giorno di Natale. (21.12.58)","10 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq179/object","Un ""pasticciaccio"" nella letteratura italiana. 22.5.963","10 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq179/object","Un ""pasticciaccio"" nella letteratura italiana. 22.5.963 ; Il marchigiano Luigi Bartolini. 30.5.963","10 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq182/object","L'album Wildenstein di Claude Lorrain. 4.4.963 ; Toros y toreros di Picasso. 5.4.1963","10 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq182/object","L'album Wildenstein di Claude Lorrain. 4.4.963","10 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq112/object","Natale fuori di casa : (Il collaudo)","10 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq112/object","Natale fuori di casa : (Il collaudo) ; Corazzini : (Valigia delle Indie ; Dialogo dei cani","10 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq368/object","Dare e avere","10 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq253/object","Il nero e l'azzurro : racconto. 9.5.1969","10 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq253/object","Il nero e l'azzurro : racconto. 9.5.1969 ; Le conchiglie : racconto. 7.7.1969","10 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq295/object","Francesco Arcangeli nel trigesimo della morte. 27 febbraio 1974","10 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq157/object","Un momento della nostra vita. 2.3.1962 ; I grandi romantici inglesi. 13.3.962","10 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq157/object","Un momento della nostra vita. 2.3.1962","10 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq299/object","Come fini un autoritratto di Giorgio Morandi. (1975)","10 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq31/object","Vecchie botteghe a Bologna","10 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq31/object","Vecchie botteghe a Bologna ; Radiguet, o del disegno ; Fotografie : per la Valigia. Dicembre 1955","10 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq227/object","Le ultime farfalle : (quattro o cinque giovani scrittori). 7.2.1967","10 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq227/object","Le ultime farfalle : (quattro o cinque giovani scrittori). 7.2.1967 ; Veneziani e trovatori. 14.2.1967","10 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq9/object","Rimbaud in Africa","10 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq54/object","Varie. 23 marzo 1957","10 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq54/object","Varie. 23 marzo 1957 ; Valigia : L'Amleto di Bacchelli","10 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq85/object","I disegni ""romani"" di Ingres. Agosto 1958","10 carte"
